931,114,595
753,72,652
651,49,584
617,30,566
562,12,536
535,16,508
551,16,524
573,12,550
572,2,558
535,1,524
575,6,556
542,3,530
525,2,510
535,1,526
555,4,544
567,0,556
557,1,546
570,1,558
573,0,562
563,2,552
553,1,542
570,0,560
564,1,556
573,1,562
543,0,534
571,1,560
553,0,542
556,1,544
549,0,538
594,0,582
552,0,544
551,0,544
572,0,562
577,0,566
571,0,560
570,1,558
537,0,526
558,0,546
551,0,540
585,0,578
537,0,528
611,1,600
531,0,522
522,0,512
577,0,568
551,0,540
528,0,520
567,1,556
543,0,532
539,0,530
